news_id,headline,body_text,source,label
1,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,Real
2,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,Daily Star,Real
3,Breakthrough in Bangladesh's tech industry,Local administration has visited the spot for further inspection.,BBC,Fake
4,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,Fake
5,New virus outbreak sparks fear,Government sources state that an official announcement will be made soon.,Reuters,Real
6,"Earthquake hits Chittagong, panic spreads",Doctors advise that basic precautions can help avoid danger.,Reuters,Fake
7,Global economy faces recession,Government sources state that an official announcement will be made soon.,BBC,Fake
8,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",BBC,Real
9,"Earthquake hits Chittagong, panic spreads",Doctors advise that basic precautions can help avoid danger.,Unknown News,Fake
10,New curriculum introduced in schools,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Real
11,New curriculum introduced in schools,Doctors advise that basic precautions can help avoid danger.,Unknown News,Fake
12,New curriculum introduced in schools,Doctors advise that basic precautions can help avoid danger.,Daily Star,Real
13,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,BBC,Real
14,Bangladeshi astronaut captures photo from the moon,Government sources state that an official announcement will be made soon.,Reuters,Real
15,New curriculum introduced in schools,Experts believe this is a significant technological advancement.,BBC,Fake
16,New virus outbreak sparks fear,Residents claim they have never witnessed such an event before.,BBC,Real
17,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,Fake
18,New curriculum introduced in schools,Uncertainty remains about the authenticity of the incident.,BBC,Real
19,Bangladesh wins the World Cup,The news went viral on social media after noon.,Daily Star,Real
20,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,Real
21,Bangladesh wins the World Cup,"Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,Fake
22,"Earthquake hits Chittagong, panic spreads",Uncertainty remains about the authenticity of the incident.,Daily Star,Real
23,"Earthquake hits Chittagong, panic spreads",Uncertainty remains about the authenticity of the incident.,Reuters,Fake
24,Breakthrough in Bangladesh's tech industry,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,Real
25,Government announces major job reforms,Experts believe this is a significant technological advancement.,Unknown News,Real
26,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,CNN,Real
27,"Earthquake hits Chittagong, panic spreads",Residents claim they have never witnessed such an event before.,Unknown News,Fake
28,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,Reuters,Fake
29,Global economy faces recession,Local administration has visited the spot for further inspection.,Unknown News,Fake
30,Dengue situation worsens in the country,Government sources state that an official announcement will be made soon.,Reuters,Fake
31,New metro rail launched in Dhaka,Local administration has visited the spot for further inspection.,CNN,Fake
32,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,Unknown News,Real
33,"Earthquake hits Chittagong, panic spreads",The news went viral on social media after noon.,Reuters,Real
34,Dengue situation worsens in the country,Experts believe this is a significant technological advancement.,Daily Star,Fake
35,New curriculum introduced in schools,Government sources state that an official announcement will be made soon.,Daily Star,Real
36,Government announces major job reforms,"Many are calling it a conspiracy. However, experts say it's quite natural.",BBC,Real
37,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,Real
38,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,Unknown News,Real
39,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,BBC,Fake
40,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,Daily Star,Fake
41,Dengue situation worsens in the country,Residents claim they have never witnessed such an event before.,Reuters,Fake
42,New curriculum introduced in schools,Uncertainty remains about the authenticity of the incident.,Unknown News,Real
43,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,Reuters,Real
44,Bangladesh wins the World Cup,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,Real
45,Global economy faces recession,Experts believe this is a significant technological advancement.,CNN,Real
46,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,Real
47,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,Fake
48,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Daily Star,Fake
49,Bangladeshi astronaut captures photo from the moon,Government sources state that an official announcement will be made soon.,BBC,Fake
50,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,Daily Star,Real
51,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,CNN,Fake
52,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Daily Star,Real
53,Bangladesh wins the World Cup,Doctors advise that basic precautions can help avoid danger.,BBC,Fake
54,"Earthquake hits Chittagong, panic spreads","Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Fake
55,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,Fake
56,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,Reuters,Real
57,Dengue situation worsens in the country,Uncertainty remains about the authenticity of the incident.,BBC,Fake
58,New virus outbreak sparks fear,Experts believe this is a significant technological advancement.,CNN,Real
59,Dengue situation worsens in the country,Government sources state that an official announcement will be made soon.,Daily Star,Real
60,Bangladeshi astronaut captures photo from the moon,Residents claim they have never witnessed such an event before.,Daily Star,Fake
61,New metro rail launched in Dhaka,Uncertainty remains about the authenticity of the incident.,Daily Star,Real
62,Dengue situation worsens in the country,Local administration has visited the spot for further inspection.,Reuters,Real
63,New virus outbreak sparks fear,The news went viral on social media after noon.,BBC,Fake
64,Bangladesh wins the World Cup,Uncertainty remains about the authenticity of the incident.,BBC,Fake
65,Bangladesh wins the World Cup,The Prime Minister attended the inauguration ceremony as the chief guest.,Unknown News,Real
66,"Earthquake hits Chittagong, panic spreads",The Prime Minister attended the inauguration ceremony as the chief guest.,Daily Star,Real
67,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,CNN,Fake
68,New virus outbreak sparks fear,Experts believe this is a significant technological advancement.,BBC,Fake
69,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,Real
70,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,Daily Star,Real
71,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,Unknown News,Fake
72,Global economy faces recession,Residents claim they have never witnessed such an event before.,BBC,Fake
73,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,Daily Star,Real
74,New curriculum introduced in schools,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Real
75,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,Unknown News,Real
76,"Earthquake hits Chittagong, panic spreads","Many are calling it a conspiracy. However, experts say it's quite natural.",Unknown News,Real
77,New metro rail launched in Dhaka,Local administration has visited the spot for further inspection.,BBC,Real
78,"Earthquake hits Chittagong, panic spreads",Residents claim they have never witnessed such an event before.,Reuters,Real
79,"Earthquake hits Chittagong, panic spreads",Experts believe this is a significant technological advancement.,BBC,Fake
80,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,Real
81,Dengue situation worsens in the country,Residents claim they have never witnessed such an event before.,Daily Star,Fake
82,New metro rail launched in Dhaka,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Unknown News,Fake
83,"Earthquake hits Chittagong, panic spreads",The Prime Minister attended the inauguration ceremony as the chief guest.,Daily Star,Real
84,New metro rail launched in Dhaka,The news went viral on social media after noon.,Reuters,Real
85,"Earthquake hits Chittagong, panic spreads",The news went viral on social media after noon.,Daily Star,Real
86,Government announces major job reforms,The news went viral on social media after noon.,Daily Star,Real
87,Bangladesh wins the World Cup,Uncertainty remains about the authenticity of the incident.,Unknown News,Fake
88,Global economy faces recession,"Many are calling it a conspiracy. However, experts say it's quite natural.",Daily Star,Fake
89,Breakthrough in Bangladesh's tech industry,Doctors advise that basic precautions can help avoid danger.,BBC,Fake
90,"Earthquake hits Chittagong, panic spreads",The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,Fake
91,Dengue situation worsens in the country,Uncertainty remains about the authenticity of the incident.,Reuters,Fake
92,Bangladesh wins the World Cup,The news went viral on social media after noon.,BBC,Fake
93,Global economy faces recession,Doctors advise that basic precautions can help avoid danger.,Daily Star,Real
94,Dengue situation worsens in the country,The news went viral on social media after noon.,Daily Star,Real
95,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,Daily Star,Fake
96,New virus outbreak sparks fear,Residents claim they have never witnessed such an event before.,BBC,Real
97,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,CNN,Fake
98,Global economy faces recession,Experts believe this is a significant technological advancement.,CNN,Real
99,Bangladeshi astronaut captures photo from the moon,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,Fake
100,New virus outbreak sparks fear,Government sources state that an official announcement will be made soon.,BBC,Real
101,Bangladesh wins the World Cup,The news went viral on social media after noon.,Reuters,Real
102,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,BBC,Real
103,"Earthquake hits Chittagong, panic spreads",Government sources state that an official announcement will be made soon.,CNN,Real
104,New curriculum introduced in schools,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,Fake
105,Dengue situation worsens in the country,Doctors advise that basic precautions can help avoid danger.,CNN,Fake
106,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,Reuters,Fake
107,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,Fake
108,Dengue situation worsens in the country,Government sources state that an official announcement will be made soon.,Daily Star,Fake
109,New metro rail launched in Dhaka,Experts believe this is a significant technological advancement.,Daily Star,Fake
110,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,Unknown News,Real
111,New curriculum introduced in schools,Experts believe this is a significant technological advancement.,CNN,Fake
112,New curriculum introduced in schools,Residents claim they have never witnessed such an event before.,BBC,Real
113,New metro rail launched in Dhaka,Uncertainty remains about the authenticity of the incident.,BBC,Fake
114,"Earthquake hits Chittagong, panic spreads",Local administration has visited the spot for further inspection.,Reuters,Real
115,Bangladeshi astronaut captures photo from the moon,The news went viral on social media after noon.,BBC,Fake
116,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,CNN,Real
117,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Reuters,Fake
118,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,Daily Star,Real
119,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Unknown News,Fake
120,Bangladesh wins the World Cup,Local administration has visited the spot for further inspection.,Unknown News,Real
121,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,Daily Star,Fake
122,Dengue situation worsens in the country,Incidents were reported from various parts of the city this morning. Authorities are investigating.,BBC,Real
123,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,Fake
124,New metro rail launched in Dhaka,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Fake
125,Bangladeshi astronaut captures photo from the moon,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,Real
126,Government announces major job reforms,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Fake
127,Breakthrough in Bangladesh's tech industry,The news went viral on social media after noon.,CNN,Fake
128,Government announces major job reforms,Experts believe this is a significant technological advancement.,CNN,Real
129,Bangladeshi astronaut captures photo from the moon,Doctors advise that basic precautions can help avoid danger.,Unknown News,Fake
130,Global economy faces recession,The news went viral on social media after noon.,CNN,Real
131,Bangladesh wins the World Cup,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Daily Star,Fake
132,New curriculum introduced in schools,The news went viral on social media after noon.,Daily Star,Real
133,Bangladesh wins the World Cup,The news went viral on social media after noon.,BBC,Real
134,Bangladeshi astronaut captures photo from the moon,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Fake
135,Government announces major job reforms,Incidents were reported from various parts of the city this morning. Authorities are investigating.,Reuters,Real
136,Government announces major job reforms,Residents claim they have never witnessed such an event before.,CNN,Fake
137,New metro rail launched in Dhaka,Government sources state that an official announcement will be made soon.,BBC,Fake
138,Bangladeshi astronaut captures photo from the moon,Uncertainty remains about the authenticity of the incident.,CNN,Real
139,Bangladeshi astronaut captures photo from the moon,Government sources state that an official announcement will be made soon.,Reuters,Fake
140,Government announces major job reforms,The news went viral on social media after noon.,BBC,Fake
141,Breakthrough in Bangladesh's tech industry,Experts believe this is a significant technological advancement.,Daily Star,Fake
142,New virus outbreak sparks fear,Doctors advise that basic precautions can help avoid danger.,Reuters,Fake
143,Dengue situation worsens in the country,Experts believe this is a significant technological advancement.,Daily Star,Real
144,Global economy faces recession,Residents claim they have never witnessed such an event before.,Reuters,Real
145,New virus outbreak sparks fear,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Fake
146,Bangladeshi astronaut captures photo from the moon,Residents claim they have never witnessed such an event before.,CNN,Fake
147,New curriculum introduced in schools,"Many are calling it a conspiracy. However, experts say it's quite natural.",CNN,Real
148,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,BBC,Fake
149,Government announces major job reforms,The news went viral on social media after noon.,Daily Star,Fake
150,Dengue situation worsens in the country,The Prime Minister attended the inauguration ceremony as the chief guest.,CNN,Fake
151,New virus outbreak sparks fear,"Many are calling it a conspiracy. However, experts say it's quite natural.",Reuters,Fake
152,Dengue situation worsens in the country,Experts believe this is a significant technological advancement.,BBC,Real
153,"Earthquake hits Chittagong, panic spreads",Experts believe this is a significant technological advancement.,CNN,Real
154,New curriculum introduced in schools,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,Real
155,Bangladesh wins the World Cup,Uncertainty remains about the authenticity of the incident.,Unknown News,Real
156,Dengue situation worsens in the country,Residents claim they have never witnessed such an event before.,Reuters,Fake
157,Global economy faces recession,Experts believe this is a significant technological advancement.,CNN,Real
158,Global economy faces recession,The Prime Minister attended the inauguration ceremony as the chief guest.,BBC,Real
159,Bangladesh wins the World Cup,Residents claim they have never witnessed such an event before.,Unknown News,Real
160,New metro rail launched in Dhaka,The Prime Minister attended the inauguration ceremony as the chief guest.,Reuters,Real
161,New metro rail launched in Dhaka,The news went viral on social media after noon.,Daily Star,Real
162,New virus outbreak sparks fear,Incidents were reported from various parts of the city this morning. Authorities are investigating.,CNN,Real
163,New virus outbreak sparks fear,Uncertainty remains about the authenticity of the incident.,Reuters,Fake
164,Government announces major job reforms,Local administration has visited the spot for further inspection.,Reuters,Fake
165,Bangladesh wins the World Cup,Government sources state that an official announcement will be made soon.,CNN,Fake
166,Global economy faces recession,Experts believe this is a significant technological advancement.,Daily Star,Real
167,Breakthrough in Bangladesh's tech industry,Uncertainty remains about the authenticity of the incident.,BBC,Fake
168,New curriculum introduced in schools,Experts believe this is a significant technological advancement.,Reuters,Fake
